share_class,end_date,start_date,performance,volatility,duration,is_green,asset_type
LU0167813129 - iMGP European Corporate Bds C EUR,2022-04-30,2010-01-02,0.023656353326617863,0.04247970116492075,4501 days,False,bonds
LU0821216842 - iMGP US Value R USD,2022-04-30,2010-01-02,0.05946853976605748,0.13967772780870905,4501 days,False,equity
LU0970691233 - iMGP US Core Plus I M USD,2022-04-30,2010-01-02,0.012795135070720054,0.03577194649379299,4501 days,False,bonds
LU0933611138 - iMGP Mlt-Asst Abs Ret EUR I EUR,2022-04-30,2010-01-02,0.004435165747895153,0.036781636060508084,4501 days,False,mixed
LU0933606302 - iMGP Sustainable Europe I EUR,2022-04-30,2010-01-02,0.04506255706320261,0.1682842147136961,4501 days,True,equity
LU0536296873 - iMGP Italian Opportunities I EUR,2022-04-30,2010-01-02,0.048312629609319035,0.20592397663014067,4501 days,False,equity
LU1130232017 - iMGP Absolute Return GBP I M GBP,2022-04-30,2010-01-02,0.026828006592125586,0.028438811798266038,4501 days,False,mixed
LU1726319590 - iMGP Stable Return I USD,2022-04-30,2010-01-02,0.006959586123317152,0.05860216867964061,4501 days,False,alternative
LU0418546858 - iMGP Global Convertibles C EUR,2022-04-30,2010-01-02,0.017261511952300523,0.06777497808746426,4501 days,False,bonds
LU0335769435 - iMGP Global Diversified Inc I EUR HP,2022-04-30,2010-01-02,0.032390608115067554,0.07028571331360563,4501 days,False,mixed
LU1457568043 - iMGP Eurp Subordinated Bds I EUR,2022-04-30,2010-01-02,0.012107734193468112,0.07426079140460555,4501 days,False,bonds
LU0335770102 - iMGP Euro Fixed Income I EUR,2022-04-30,2010-01-02,0.02830771022557066,0.03382094778636019,4501 days,False,bonds
LU0688633840 - iMGP US High Yield I USD,2022-04-30,2010-01-02,0.03944543920491439,0.06922107014077866,4501 days,False,bonds
LU0933609314 - iMGP Japan Opportunities I JPY,2022-04-30,2010-01-02,0.02388947960061172,0.19407889498332467,4501 days,False,equity
LU0995828042 - iMGP Europe I EUR,2022-04-30,2010-01-02,0.01427594951977218,0.166078625674909,4501 days,False,equity
LU2041049300 - iMGP BM Alternativos I EUR,2022-04-30,2010-01-02,0.005312505248076249,0.04418679238918893,4501 days,False,fund_of_funds
LU0933609405 - iMGP US Small&Mid Company Gr I USD,2022-04-30,2010-01-02,0.04685169529138955,0.20914368273588158,4501 days,False,equity
LU1726319590 - iMGP Stable Return I USD,2022-04-30,2010-01-09,0.00697044737637964,0.05860216867964061,4494 days,False,alternative
LU0821216842 - iMGP US Value R USD,2022-04-30,2010-01-09,0.05956372716473046,0.13967772780870905,4494 days,False,equity
LU0933609314 - iMGP Japan Opportunities I JPY,2022-04-30,2010-01-09,0.023927073739695492,0.19407889498332467,4494 days,False,equity
LU0970691233 - iMGP US Core Plus I M USD,2022-04-30,2010-01-09,0.012815161156577215,0.03577194649379299,4494 days,False,bonds
LU0933611138 - iMGP Mlt-Asst Abs Ret EUR I EUR,2022-04-30,2010-01-09,0.0044420786590666506,0.036781636060508084,4494 days,False,mixed
LU2041049300 - iMGP BM Alternativos I EUR,2022-04-30,2010-01-09,0.005320789250607305,0.04418679238918893,4494 days,False,fund_of_funds
LU0995828042 - iMGP Europe I EUR,2022-04-30,2010-01-09,0.014298309594239944,0.166078625674909,4494 days,False,equity
LU1130232017 - iMGP Absolute Return GBP I M GBP,2022-04-30,2010-01-09,0.026864254043423408,0.028460636322109788,4494 days,False,mixed
LU1457568043 - iMGP Eurp Subordinated Bds I EUR,2022-04-30,2010-01-09,0.012126677976908917,0.07426079140460555,4494 days,False,bonds
LU0688633840 - iMGP US High Yield I USD,2022-04-30,2010-01-09,0.03950798133287314,0.06922107014077866,4494 days,False,bonds
LU0418546858 - iMGP Global Convertibles C EUR,2022-04-30,2010-01-09,0.01645841532757264,0.06777061431823017,4494 days,False,bonds
LU0335769435 - iMGP Global Diversified Inc I EUR HP,2022-04-30,2010-01-09,0.032295811268519437,0.07033966363486055,4494 days,False,mixed
LU0933609405 - iMGP US Small&Mid Company Gr I USD,2022-04-30,2010-01-09,0.046926243024910885,0.20914368273588158,4494 days,False,equity
LU0933606302 - iMGP Sustainable Europe I EUR,2022-04-30,2010-01-09,0.04513419708898003,0.1682842147136961,4494 days,True,equity
LU0536296873 - iMGP Italian Opportunities I EUR,2022-04-30,2010-01-09,0.04838955518657828,0.20592397663014067,4494 days,False,equity
