Code;end date;Group/Investment;ISIN;Perf Y1;Perf Y3;Perf Y5;Vol Y1;Vol Y3;Vol Y5
F0GBR05TBZ;04/07/2022;iMGP European Corporate Bds C EUR;LU0167813129;-12.93%;-3.62%;-2.10%;4.17%;4.83%;3.93%
F000002OH8;04/07/2022;iMGP Euro Fixed Income I EUR;LU0335770102;-12.86%;-2.83%;-0.60%;4.19%;3.92%;3.36%
F00000JPT5;04/07/2022;iMGP Italian Opportunities I EUR;LU0536296873;-17.55%;1.17%;1.19%;27.76%;27.57%;23.94%
F00000NCCS;04/07/2022;iMGP US High Yield I USD;LU0688633840;-15.82%;-1.64%;0.68%;6.69%;8.85%;7.23%
F00000OU30;04/07/2022;iMGP US Value R USD;LU0821216842;-2.79%;6.53%;6.71%;18.51%;22.42%;18.61%
F00000Q0N6;04/07/2022;iMGP Sustainable Europe I EUR;LU0933606302;-11.71%;6.62%;2.32%;25.09%;23.71%;20.36%
F00000Q0P3;04/07/2022;iMGP Japan Opportunities I JPY;LU0933609314;0.51%;4.54%;3.47%;19.49%;20.86%;19.30%
F00000Q0P4;04/07/2022;iMGP US Small&Mid Company Gr I USD;LU0933609405;-41.65%;-3.43%;0.60%;44.72%;38.56%;31.60%
F00000Q0NX;04/07/2022;iMGP Mlt-Asst Abs Ret EUR I EUR;LU0933611138;-12.30%;-1.54%;-0.37%;3.88%;4.38%;3.79%
F00000QHZ0;04/07/2022;iMGP US Core Plus I M USD;LU0970691233;-9.16%;-0.33%;1.03%;4.19%;4.21%;3.49%
F00000UQH8;04/07/2022;iMGP Absolute Return GBP I M GBP;LU1130232017;-11.69%;-0.57%;0.33%;3.89%;3.71%;3.25%
F00000XJ7Z;04/07/2022;iMGP Eurp Subordinated Bds I EUR;LU1457568043;-11.69%;-0.65%;0.57%;3.70%;7.62%;6.46%
F00000ZSS8;04/07/2022;iMGP Stable Return I USD;LU1726319590;1.57%;2.18%;;8.05%;7.81%;6.80%
F000013DXH;04/07/2022;iMGP Global Diversified Inc I USD;LU1965317180;-17.90%;0.24%;;9.45%;9.12%;9.11%
F000014359;04/07/2022;iMGP BM Alternativos I EUR;LU2041049300;-4.24%;;;3.87%;5.50%;5.49%
XIUSA00108;04/07/2022;Bloomberg Euro Agg Bond TR EUR;;-11.85%;-3.46%;-0.85%;6.91%;5.33%;4.45%
XIUSA000MH;04/07/2022;Bloomberg US Interm Credit TR USD;;-8.96%;0.02%;1.57%;4.81%;4.52%;3.80%
EUCA000564;04/07/2022;EAA Fund EUR Cautious Allocation - Global;;-8.34%;-1.00%;-0.38%;3.54%;3.91%;3.29%
EUCA000690;04/07/2022;EAA Fund EUR Corporate Bond;;-11.68%;-3.29%;-1.33%;3.76%;3.50%;2.83%
EUCA000587;04/07/2022;EAA Fund EUR Diversified Bond;;-10.04%;-3.12%;-1.34%;3.20%;2.85%;2.32%
EUCA000922;04/07/2022;EAA Fund EUR Subordinated Bond;;-12.85%;-1.94%;-0.05%;3.36%;5.75%;4.73%
